,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
82,"I Like Me Better",Lauv,42251,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
83,"Space Cadet (feat. Gunna)","Metro Boomin",42009,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
84,"Walk Me Home",P!nk,41936,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
85,"Beautiful Crazy","Luke Combs",41845,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
86,Moonlight,XXXTENTACION,41456,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
87,"I Like It","Cardi B",41424,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
88,"Giant (with Rag'n'Bone Man)","Calvin Harris",41284,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
89,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",41272,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
90,"Red Room",Offset,41171,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
91,"Wow. - Remix","Post Malone",40940,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
92,"Psycho (feat. Ty Dolla $ign)","Post Malone",40637,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
93,Noticed,"Lil Mosey",40261,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
94,"Wake Up in the Sky","Gucci Mane",40158,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
95,"Envy Me",Calboy,39220,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
96,idontwannabeyouanymore,"Billie Eilish",39163,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
97,"Numb Numb Juice","ScHoolboy Q",38800,https://open.spotify.com/track/4dTiQezDWmEOWcdCbWVWMp
98,"Hear Me Calling","Juice WRLD",38439,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
99,"No Stylist","French Montana",38099,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
100,"Legacy (feat. Travis Scott & 21 Savage)",Offset,37852,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
101,Undrunk,FLETCHER,37849,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
102,"God's Plan",Drake,37481,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
103,"Armed And Dangerous","Juice WRLD",37313,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
104,"This Feeling","The Chainsmokers",37202,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
